""	"Category"	"Category_Description"	"Abbreviation"	"Definition"
"PTGS2"	"-"	"-"	"PTGS2"	"PTGS2 inhibitor"
"Anti-bone resorp"	"NonCan"	"Non-cancer drug with FDA approval"	"Anti-bone resorp"	"anti-Bone resorption"
"ERBB2"	"PK"	"Protein kinase inhibitor"	"ERBB2"	"ERBB2 inhibitor"
"HYP"	"-"	"-"	"HYP"	"Hypoxia"
"HIF1"	"-"	"-"	"HIF1"	"HIF1 inhibitor"
"EPAS1"	"-"	"-"	"EPAS1"	"EPAS1 inhibitor"
"BCR-ABL"	"-"	"-"	"BCR-ABL"	"BCR-ABL inhibitor"
"PDGFR"	"PK"	"Protein kinase inhibitor"	"PDGFR"	"PDGFR inhibitor"
"KIT"	"PK"	"Protein kinase inhibitor"	"KIT"	"c-Kit inhibitor"
"NFkB"	"-"	"-"	"NFkB"	"Nuclear factor of kappa light polypeptide gene enhancer in B-cells"
"FGFR"	"PK"	"Protein kinase inhibitor"	"FGFR"	"FGFR inhibitor"
"VEGFR"	"PK"	"Protein kinase inhibitor"	"VEGFR"	"VEGFR inhibitor"
"CHEK"	"PK"	"Protein kinase inhibitor"	"CHEK"	"CHK inhibitor (CHEK1, CHEK2)"
"CHEK2"	"PK"	"Protein kinase inhibitor"	"CHEK2"	"CHEK2 inhibitor"
"BCL2"	"-"	"-"	"BCL2"	"BCL2 inhibitor"
"PARP"	"-"	"-"	"PARP"	"Poly(ADP-ribose)polymerase"
"PARP1"	"-"	"-"	"PARP1"	"PARP1 inhibitor"
"CYP17A1"	"-"	"-"	"CYP17A1"	"CYP17A1 inhibitor"
"Ab"	"-"	"-"	"Ab"	"Antibodies"
"CD133"	"-"	"-"	"CD133"	"CD133 inhibitor"
"CTNNB1"	"-"	"-"	"CTNNB1"	"Beta catenin inhibior"
"SMO"	"-"	"-"	"SMO"	"SMO inhibitor"
"Antihemorrhagic"	"NonCan"	"Non-cancer drug with FDA approval"	"Antihemorrhagic"	"Stops bleeding"
"MET"	"PK"	"Protein kinase inhibitor"	"MET"	"MET inhibitor"
"ALK"	"PK"	"Protein kinase inhibitor"	"ALK"	"ALK inhibitor"
"CardG"	"NonCan"	"Non-cancer drug with FDA approval"	"CardG"	"Cardiac Glycoside"
"Ant"	"NonCan"	"Non-cancer drug with FDA approval"	"Ant"	"Antibiotic"
"AXL"	"PK"	"Protein kinase inhibitor"	"AXL"	"Axl inhibitor"
"FLT3"	"PK"	"Protein kinase inhibitor"	"FLT3"	"FLT3 inhibitor"
"RET"	"PK"	"Protein kinase inhibitor"	"RET"	"RET inhibitor"
"BRD"	"-"	"-"	"BRD"	"Bromodomain inhibiting"
"BRAF"	"PK"	"Protein kinase inhibitor"	"BRAF"	"BRAF inhibitor"
"BTK"	"PK"	"Protein kinase inhibitor"	"BTK"	"BTK inhibitor"
"STAT"	"-"	"-"	"STAT"	"STAT(3,5) inhibitor"
"STAT5A/B"	"-"	"-"	"STAT5A/B"	"STAT5A/B inhibitor"
"LYN"	"PK"	"Protein kinase inhibitor"	"LYN"	"LYN inhibitor"
"SRC"	"PK"	"Protein kinase inhibitor"	"SRC"	"SRC inhibitor"
"HCK"	"PK"	"Protein kinase inhibitor"	"HCK"	"HCK inhibitor"
"Not Available"	"PK"	"Protein kinase inhibitor"	"Not Available"	"Not Available"
"FLT"	"PK"	"Protein kinase inhibitor"	"FLT"	"Flt inhibitor (FLT1, FLT3, FLT4)"
"IGF1R"	"PK"	"Protein kinase inhibitor"	"IGF1R"	"IGF1R inhibitor"
"RNA polymerase I"	"-"	"-"	"RNA polymerase I"	"RNA polymerase I inhibitor"
"CDK4"	"PK"	"Protein kinase inhibitor"	"CDK4"	"CDK4 inhibitor"
"CDK6"	"PK"	"Protein kinase inhibitor"	"CDK6"	"CDK6 inhibitor"
"FYN"	"PK"	"Protein kinase inhibitor"	"FYN"	"FYN inhibitor"
"BLK"	"PK"	"Protein kinase inhibitor"	"BLK"	"BLK inhibitor"
"LCK"	"PK"	"Protein kinase inhibitor"	"LCK"	"LCK inhibitor"
"YES1"	"PK"	"Protein kinase inhibitor"	"YES1"	"YES1 inhibitor"
"CHEK1"	"PK"	"Protein kinase inhibitor"	"CHEK1"	"CHEK1 inhibitor"
"PLK1"	"PK"	"Protein kinase inhibitor"	"PLK1"	"PLK1 inhibitor"
"APH1"	"-"	"-"	"APH1"	"APH1A, APHiB gamma secretase inhibitors"
"Gamma secretase"	"-"	"-"	"Gamma secretase"	"Gamma secretase affector"
"PDK1"	"PK"	"Protein kinase inhibitor"	"PDK1"	"PDK1 inhibitor"
"NTRK"	"PK"	"Protein kinase inhibitor"	"NTRK"	"NTRK1, NTRK2 inhibitor"
"JAK2"	"PK"	"Protein kinase inhibitor"	"JAK2"	"JAK2 inhibitor"
"RON"	"PK"	"Protein kinase inhibitor"	"RON"	"RON inhibitor"
"AKT1"	"PK"	"Protein kinase inhibitor"	"AKT1"	"AKT1 inhibitor"
"AKT2"	"PK"	"Protein kinase inhibitor"	"AKT2"	"AKT2 inhibitor"
"AKT3"	"PK"	"Protein kinase inhibitor"	"AKT3"	"AKT3 inhibitor"
"AURK"	"PK"	"Protein kinase inhibitor"	"AURK"	"Aurora kinase inhibitor"
"CDH16"	"-"	"-"	"CDH16"	"CDH16 (KSP) inhibitor"
"Kinesin"	"-"	"-"	"Kinesin"	"Kinesin spindle protein inhibitor"
"NEDD8"	"-"	"-"	"NEDD8"	"NEDD8 (NAE) inhibitor"
"RAD51"	"-"	"-"	"RAD51"	"RAD51 inhibitor"
"FGFR1"	"PK"	"Protein kinase inhibitor"	"FGFR1"	"FGFR1 inhibitor"
"FGFR3"	"PK"	"Protein kinase inhibitor"	"FGFR3"	"FGFR3 inhibitor"
"FAK"	"PK"	"Protein kinase inhibitor"	"FAK"	"FAK inhibitor"
"GTPase"	"-"	"-"	"GTPase"	"Ras, Raf and other GTPases"
"FT"	"-"	"-"	"FT"	"Farnesel transferase inhibitor"
"JAK"	"PK"	"Protein kinase inhibitor"	"JAK"	"JAK inhibitor"
"EHMT2"	"-"	"-"	"EHMT2"	"EHMT2 inhibitor"
"EHMT1/2"	"-"	"-"	"EHMT1/2"	"EHMT1/2 inhibitor"
"Wnt"	"-"	"-"	"Wnt"	"Wingless-type MMTV integration site family (WNT) inhibitor"
"TNKS"	"PK"	"Protein kinase inhibitor"	"TNKS"	"TNKS inhibitor"
"BIRC5"	"-"	"-"	"BIRC5"	"BIRC5 inhibitor"
"RHO"	"-"	"-"	"RHO"	"RHO inhibitor"
"RAS"	"-"	"-"	"RAS"	"RAS inhibitor"
"CSF1R"	"PK"	"Protein kinase inhibitor"	"CSF1R"	"CSF1R inhibitor"
"WEE1"	"PK"	"Protein kinase inhibitor"	"WEE1"	"WEE1 inhibitor"
"IAP"	"-"	"-"	"IAP"	"XIAP, BIRC2,3,5,7,8"
"MDM2"	"-"	"-"	"MDM2"	"MDM2 inhibitor"
"VEGF"	"PK"	"Protein kinase inhibitor"	"VEGF"	"VEGF inhibitor"
"MAPK14"	"PK"	"Protein kinase inhibitor"	"MAPK14"	"MAPK14 (p38) inhibitor"
"MAPK8"	"PK"	"Protein kinase inhibitor"	"MAPK8"	"MAPK8 (JNK) inhibitor"
"RAF"	"PK"	"Protein kinase inhibitor"	"RAF"	"RAF inhibitor"
"RAF1"	"PK"	"Protein kinase inhibitor"	"RAF1"	"RAF1 inhibitor"
"AO"	"-"	"-"	"AO"	"Antioxidant"
"STAT3"	"-"	"-"	"STAT3"	"STAT3 inhibitor"
"GSTP1"	"-"	"-"	"GSTP1"	"GSTP1 inhibitor"
"Hg-Smo"	"-"	"-"	"Hg-Smo"	"Hedgehog-Smoothen - B catenin"
"PTK"	"PK"	"Protein kinase inhibitor"	"PTK"	"Protein tyrosine kinase (a gene name)"
"NAMPT"	"-"	"-"	"NAMPT"	"NAMPT inhibitor"
"ATR"	"PK"	"Protein kinase inhibitor"	"ATR"	"ATR inhibitor"
"CK2"	"-"	"-"	"CK2"	"Casein kinase 2 inhibitor"
"AGPAT2"	"-"	"-"	"AGPAT2"	"AGPAT2 (LPAATB) inhibitor"
"ERK"	"PK"	"Protein kinase inhibitor"	"ERK"	"ERK inhibitor"
"RASA1"	"-"	"-"	"RASA1"	"RASA1 inhibitor"
"MAP3K"	"PK"	"Protein kinase inhibitor"	"MAP3K"	"MAP3K (ERK1) inhibitor"
"TEK"	"PK"	"Protein kinase inhibitor"	"TEK"	"TEK inhibitor"
"MGLL"	"-"	"-"	"MGLL"	"MGLL (MAGL) inhibitor"
"KLF4"	"-"	"-"	"KLF4"	"KLF4 inhibitor"
"MTF1"	"-"	"-"	"MTF1"	"MTF1 inhibitor"
"CDK1"	"PK"	"Protein kinase inhibitor"	"CDK1"	"CDK1 inhibitor"
"CDK5"	"PK"	"Protein kinase inhibitor"	"CDK5"	"CDK5 inhibitor"
"IL6"	"-"	"-"	"IL6"	"IL6 inhibitor"
"GSK3A"	"PK"	"Protein kinase inhibitor"	"GSK3A"	"GSK3A inhibitor"
"FGFR2"	"PK"	"Protein kinase inhibitor"	"FGFR2"	"FGFR2 inhibitor"
"FGFR4"	"PK"	"Protein kinase inhibitor"	"FGFR4"	"FGFR4 inhibitor"
"MYC"	"-"	"-"	"MYC"	"c-Myc inhibitor"
"JAK3"	"PK"	"Protein kinase inhibitor"	"JAK3"	"JAK3 inhibitor"
"ERG"	"-"	"-"	"ERG"	"ERG inhibitor"
"ETV"	"-"	"-"	"ETV"	"ETV1 inhibitor"
"MERTK"	"PK"	"Protein kinase inhibitor"	"MERTK"	"MERTK inhibitor"
"AR"	"-"	"-"	"AR"	"Androgen receptor"
"JAK1"	"PK"	"Protein kinase inhibitor"	"JAK1"	"JAK1 inhibitor"
"IMPDH1"	"-"	"-"	"IMPDH1"	"IMPDH1 inhibitor"
"KDR"	"PK"	"Protein kinase inhibitor"	"KDR"	"KDR inhibitor"
"IDH1"	"-"	"-"	"IDH1"	"IDH1 inhibitor"
"KIF11"	"-"	"-"	"KIF11"	"KIF11 (Eg5) inhibitor"
"MST1R"	"PK"	"Protein kinase inhibitor"	"MST1R"	"MST1R inhibitor"
"GSK3B"	"PK"	"Protein kinase inhibitor"	"GSK3B"	"GSK3B inhibitor"
"XPO1"	"-"	"-"	"XPO1"	"XPO1 inhibitor"
"PKM"	"-"	"-"	"PKM"	"PKM (PKM2) inhibitor"
"MAPK1"	"PK"	"Protein kinase inhibitor"	"MAPK1"	"MAPK1 inhibitor"
"CXCR4"	"-"	"-"	"CXCR4"	"CXCR4 inhibitor"
"CDC7"	"PK"	"Protein kinase inhibitor"	"CDC7"	"CDC7 inhibitor"
"PIM1"	"PK"	"Protein kinase inhibitor"	"PIM1"	"PIM1 inhibitor"
"PIM2"	"PK"	"Protein kinase inhibitor"	"PIM2"	"PIM2 inhibitor"
"PIM3"	"PK"	"Protein kinase inhibitor"	"PIM3"	"PIM3 inhibitor"
"PI3KB"	"-"	"-"	"PI3KB"	"PI3KB inhibitor"
"PORCN"	"-"	"-"	"PORCN"	"porcupine inhibitor"
"PPARG"	"-"	"-"	"PPARG"	"PPARG inhibitor"
"SETD8"	"-"	"-"	"SETD8"	"SETD8 (N-Lysine Methyltransferase) inhibitor"
"SMYD2"	"-"	"-"	"SMYD2"	"SMYD2 inhibitor"
"MCL1"	"-"	"-"	"MCL1"	"MCL1 inhibitor"
"PAK4"	"PK"	"Protein kinase inhibitor"	"PAK4"	"PAK4 inhibitor"
"EIF2AK3"	"PK"	"Protein kinase inhibitor"	"EIF2AK3"	"EIF2AK3 inhibitor"
"FASN"	"-"	"-"	"FASN"	"FASN inhibitor"
"PARP2"	"-"	"-"	"PARP2"	"PARP2 inhibitor"
"MELK"	"PK"	"Protein kinase inhibitor"	"MELK"	"MELK inhibitor"
"GLS"	"-"	"-"	"GLS"	"GLS inhibitor"
"UB-activating"	"-"	"-"	"UB-activating"	"Ubiquitin-activating enzyme"
"PRMT5"	"-"	"-"	"PRMT5"	"PRMT5 inhibitor"
"SERD"	"-"	"-"	"SERD"	"Selective estrogen receptor degrader"
"IDUA"	"-"	"-"	"IDUA"	"IDUA inhibitor"
"KMT2A"	"-"	"-"	"KMT2A"	"KMT2A inhibitor"
"SLC16A1"	"-"	"-"	"SLC16A1"	"SLC16A1 inhibitor"
"SLC16A7"	"-"	"-"	"SLC16A7"	"SLC16A7 inhibitor"
"PBK"	"PK"	"Protein kinase inhibitor"	"PBK"	"PBK inhibitor"
"ATM"	"PK"	"Protein kinase inhibitor"	"ATM"	"ATM inhibitor"
"CENP"	"-"	"-"	"CENP"	"CENP inhibitor"
"PRMT6"	"-"	"-"	"PRMT6"	"PRMT6 inhibitor"
"FAS"	"-"	"-"	"FAS"	"FAS inhibitor"
"SLC2A1"	"-"	"-"	"SLC2A1"	"SLC2A1 inhibitor"
"TTK"	"PK"	"Protein kinase inhibitor"	"TTK"	"TTK inhibitor"
"TYK2"	"PK"	"Protein kinase inhibitor"	"TYK2"	"TYK2 inhibitor"
"LDHA"	"-"	"-"	"LDHA"	"LDHA inhibitor"
"BUB1"	"PK"	"Protein kinase inhibitor"	"BUB1"	"BUB1 inhibitor"
